#Table1
z,ra,dec
0.8181214,154.85615,-0.029896934
1.759872,154.67992,-0.58095136
0.5874783,155.24885,1.0095356
1.18927,158.16339,0.065052063
1.280925,158.00116,0.57455319
1.706352,158.48844,0.89027426
0.3605878,158.41117,0.70737549
0.1312082,158.46913,0.73426859
1.787385,158.9464,0.21106121
0.4356225,163.11808,-1.0800156
0.5447398,162.79297,-0.062293114
1.280378,162.90158,-0.80191552
0.3589468,162.96439,-0.85491191
1.278541,162.63785,-0.23189271
0.6620612,162.72474,0.037125459
1.535547,162.59871,-1.0987453
1.140733,162.14889,0.00061963687
1.736489,162.45133,0.98634812
1.408557,165.66217,0.39795703
0.926358,165.60956,0.59809134
1.379832,165.64723,0.41702261
1.687793,165.67963,0.78908754
0.5820822,165.943823430705,1.25073401960565
0.244108,166.11441,0.55185463
0.1202509,166.01975,1.0770232
0.1269755,146.06576,0.18365913
1.903545,146.39794,0.14516539
0.6494742,146.50879,0.58851764
0.3566249,146.41413,0.76855419
1.629847,151.92844,-0.59236915
1.472574,152.05662,-0.038472541
1.462372,151.27729,-1.218695
1.709406,151.43094,-0.9333294
2.11091,150.98397,-0.99457663
0.1227516,151.46081,0.22038842
2.492378,151.47226,0.32421986
0.878103,151.67523,0.26377476
0.2140629,151.20107,0.66928368
1.768779,156.42652,-0.92887573
0.9501231,156.83349,0.014336943
0.937114,156.33799,-0.86039667
0.5523928,156.26809,-0.7718972
0.8542504,156.61919,-0.3734479
1.088142,155.763,-0.65789218
0.4527669,156.34445,-0.26452037
0.9878923,156.26717,-0.10847333
0.3215677,156.21049,-0.35065686
1.293653,156.20354,-0.38675016
0.218394,156.96728,-0.58232198
0.2849086,156.98791,0.90193089
0.9144359,156.90169,0.75817815
0.613634,156.94182,0.53472232
1.351589,157.51824,0.14235642
2.613248,157.9704,1.1564056
1.436365,158.03829,1.1619739
0.1878995,164.27892,-0.69588589
1.909953,163.77638,-0.82897008
1.185795,164.06341,-1.1546201
1.356743,163.86457,-0.47130389
0.435571,163.72236,-1.2368293
0.5226803,163.67974,-1.1171644
0.9157199,163.73766,-0.76473279
1.061694,163.39698,-0.86535542
1.564207,163.47031,-0.98131503
0.6765905,163.42589,-0.2389271
1.161501,163.55875,-0.30100604
1.839879,163.4099,-0.46789186
0.4822001,163.40298,-0.29090584
1.168424,164.46996,-0.98564984
0.1083364,164.41957,-1.1648163
1.400317,164.54445,-1.1938065
0.3360254,164.02891,-0.78208728
0.7599077,164.1781,-0.7155497
0.125678,164.58119,0.77998885
1.331445,164.78199,1.0509826
0.3931704,164.76801,0.59700141
2.131015,165.03545,0.84106195
1.536287,165.13688,0.69825065
1.743349,165.04145,1.2451201
2.005455,164.97501,0.77990766
2.023018,165.01788,0.90216004
0.6524171,146.90229,-0.98491332
1.473592,146.438,-0.65600998
1.4047,145.59384,0.27826036
0.6928394,146.05906,1.0485111
0.2347056,149.74915,0.78858374
0.7417179,150.28957,0.3771786
1.059423,150.12147,1.0291548
0.6833993,150.62088,1.1495727
3.04513,151.11849,0.30711517
1.454275,155.08746,0.41630905
0.4628324,155.03748,0.12819747
4.407934,155.01412,0.15070433
1.205194,155.0049,0.82109772
5.576595,155.53709,0.45200398
2.107791,155.53053,0.80013637
1.523127,155.46494,0.69649517
1.368632,155.68836,0.38909458
0.3437378,156.75099,-1.0736104
1.542832,157.26314,-0.6334657
0.2230408,157.39606,-0.26494839
0.1977653,157.3589,-0.44540332
0.2826445,156.52807,-0.84414153
1.172575,158.44241,-0.037609405
0.9680938,158.28719,-0.27708653
1.791022,158.05927,-0.53255163
1.122784,158.01038,-0.4296777
1.421525,157.93954,-0.37137042
0.5585008,158.09408,-0.062662662
1.875947,158.01976,-0.18864272
1.25763,157.95172,-0.60280935
2.052532,157.55672,-1.0156883
2.133717,157.68263,-0.59049095
0.561353,157.63089,-0.31737708
0.2586038,157.33622,-0.79651288
0.9467751,157.15168,-1.0776891
1.530539,157.15427,-1.0076586
0.2183035,157.15363,-0.72066525
0.3648561,156.66845,-0.70180159
1.769524,161.87061,1.0176649
1.402015,162.21787,0.26578371
0.2524576,162.03225,0.92872036
2.131131,164.273,-1.1272137
1.925306,164.68092,-0.31322756
0.3298367,165.79201,-0.21244379
0.4496036,165.81309,-0.25370137
1.336011,165.66319,-0.67561671
0.8755801,165.5025,-0.70643215
1.735306,165.2818,-0.98949192
0.5412789,165.22558,-0.84400074
1.542721,165.1351,-0.43416034
1.724419,164.7075,-1.1674962
0.1549936,164.8855,-0.73185929
0.282167,164.899,-0.09757181
0.3974099,164.92698,-0.38359397
1.955735,164.51315,-0.90420385
0.6488891,191.5547,-0.70916876
0.2210101,191.33221,-0.8751071
1.261742,193.06691,0.52807674
0.5004718,193.99814,0.85167669
2.691162,193.37495,0.12504283
2.124565,194.54225,0.92651728
1.520458,194.33143,0.8385702
1.812562,194.43307,0.95932192
1.728606,194.5761,1.103848
0.9577896,194.26533,1.0255436
1.45211,201.03755,-0.67417725
1.582299,200.67634,-0.66388796
1.841468,200.9419,-0.30550735
1.96419,201.47964,1.2399115
0.1035262,201.43125,0.69557251
1.645136,207.62129,-0.94798787
1.475899,207.68614,-1.1498243
4.429685,207.7411,-0.7320362
1.447153,207.86187,-0.19899727
1.250414,207.45515,-1.2288995
0.5997332,207.45163,-1.1060617
0.5148025,207.39295,-0.68412902
1.47349,212.13852,-1.0824992
1.685386,212.62644,-0.70879191
1.868681,212.56401,-0.23857872
1.075157,212.57693,-0.68317988
1.505306,212.69885,-0.43189067
0.3829785,211.81731,-1.0173738
0.4678708,212.35845,-0.23752542
2.038383,214.59547,-0.015150014
1.12425,214.94605,0.98478148
0.9287443,215.04365,0.57222017
0.7263246,215.04837,0.62001581
1.837246,214.90663,-0.025686317
1.596405,215.20717,0.54692338
1.155889,215.35053,-0.037936295
1.305575,219.67406,-0.6619962
1.805848,219.4509,-1.2434067
0.2852995,219.25504,-1.0716845
1.763805,219.21488,-0.63765202
0.1378703,219.36586,-0.39542898
1.677424,219.2091,-1.2078122
1.273137,219.18776,-0.86403115
1.514296,219.07908,-0.44804976
1.525129,219.03069,-1.2073746
0.2904889,218.79564,-0.63945891
1.380833,218.51964,-0.67484571
2.247465,218.71972,-0.47446255
0.8072227,191.82894,0.20170909
1.560654,192.65457,0.90266622
1.461207,192.53473,0.77252005
1.553408,192.41082,0.40545835
1.642622,192.40053,0.08376605
1.150787,192.62703,0.33338533
2.096637,192.63176,0.038151578
1.182917,198.00931,-0.30559576
1.302879,197.87929,-1.0589983
0.0867744,197.90591,-0.95951611
1.385126,197.80727,-0.76516667
0.951261,202.45726,-0.83606695
0.6495032,204.34412,0.63649222
0.3300996,204.3603,0.97464749
1.527249,204.57736,0.82105067
1.218225,204.77553,0.69387392
1.429688,204.36641,1.1096918
2.123821,204.91258,0.17269283
1.873134,204.93904,0.16280814
2.083362,206.20046,-0.88248161
0.9328713,208.73859,-0.56843663
1.793982,208.89329,-0.14493596
1.983188,208.77229,-0.33421122
1.353717,208.21166,-0.32887682
1.512352,208.60515,-0.23279563
1.669696,208.19985,-0.39768086
1.624181,208.89927,0.70363028
0.3650836,208.74489,1.0789432
1.974796,214.3385,0.95396695
1.716497,214.87152,0.2639621
1.546499,214.80822,-0.015309604
0.3648931,215.79316,-0.5455802
0.9095625,215.97224,-0.27476891
0.6803448,215.96671,-0.11810915
0.809414,217.39584,-0.76211707
1.5524,216.89103,-0.17828571
0.1338071,216.9753,-1.2467477
0.8080961,217.30714,-0.73807002
0.2219219,216.86105,-0.33055761
0.7534747,216.76124,-0.22914414
1.146068,216.48496,-0.30521958
0.6268156,216.74406,-0.3489854
1.353462,223.02853,-1.2441174
2.110118,222.87054,-0.94882487
0.5143725,222.41281,-0.2524811
1.195022,222.50567,-0.14699377
1.269727,222.4699,-0.74377753
1.083385,222.81377,1.2354374
0.8761939,222.50922,0.91880506
1.301381,222.84602,1.0295764
1.058287,191.68497,-0.7131209
1.743491,191.78541,-0.59362869
1.733884,191.51873,-0.94777699
2.006084,191.38487,-0.79499548
1.588674,191.31685,-0.31644617
1.792617,191.37755,0.6339375
1.909746,191.49653,0.15072229
1.665378,191.28382,0.35349791
1.659236,191.82173,1.0063577
1.668741,192.13795,1.064413
0.6321335,198.63955,-0.83819358
3.174457,198.33687,-0.21880902
0.8053297,198.03617,-1.1194954
